,v202401.1.1,v202401.2.1,v202401.4.0,latest
Sigmoidparameter,🟢,🟢,🟢,🟢
StandorteigenschaftenGas,🟢,🟢,🟢,🟢
StandorteigenschaftenStrom,🟢,🟢,🟢,🟢
Steuerbetrag,🟢,🟢,🟢,🟢
Tarifberechnungsparameter,🟢,🟢,🟢,🟢
Tarifeinschraenkung,🟢,🟢,🟢,🟢
Tarifpreis,🟢,🟢,🟢,🟢
Tarifpreisposition,🟢,🟢,🟢,🟢
TarifpreispositionProOrt,🟢,🟢,🟢,🟢
TarifpreisstaffelProOrt,🟢,🟢,🟢,🟢
Unterschrift,🟢,🟢,🟢,🟢
Verbrauch,🟢,🟢,🟢,🟢
Vertragskonditionen,🟢,🟢,🟢,🟢
Vertragsteil,🟢,🟢,🟢,🟢
VerwendungszweckProMarktrolle,🟢,🟢,🟢,🟢
Zaehlwerk,🟢,🟢,🟢,🟢
Zaehlzeitregister,🟢,🟢,🟢,🟢
Zeitraum,🟢,🟢,🟢,🟢
Zeitreihenwert,🟢,🟢,🟢,🟢
Zeitspanne,🟢,🟢,🟢,🟢
Zustaendigkeit,🔴,🟢,🟢,🟢
AbgabeArt,🟢,🟢,🟢,🟢
Angebotsstatus,🟢,🟢,🟢,🟢
Anrede,🟢,🟢,🟢,🟢
ArithmetischeOperation,🟢,🟢,🟢,🟢
ArtikelId,🟢,🟢,🟢,🟢
AufAbschlagstyp,🟢,🟢,🟢,🟢
AufAbschlagsziel,🟢,🟢,🟢,🟢
Ausschreibungsportal,🟢,🟢,🟢,🟢
Ausschreibungsstatus,🟢,🟢,🟢,🟢
Ausschreibungstyp,🟢,🟢,🟢,🟢
BDEWArtikelnummer,🟢,🟢,🟢,🟢
Befestigungsart,🟢,🟢,🟢,🟢
Bemessungsgroesse,🟢,🟢,🟢,🟢
Bilanzierungsmethode,🟢,🟢,🟢,🟢
Dienstleistungstyp,🟢,🟢,🟢,🟢
EMobilitaetsart,\-,\-,➕,🟢
Energierichtung,🟢,🟢,🟢,🟢
Erzeugungsart,🟢,🟢,🟢,🟢
Gasqualitaet,🟢,🟢,🟢,🟢
Gebiettyp,🟢,🟢,🟢,🟢
Geraeteklasse,🟢,🟢,🟢,🟢
Geraetetyp,🟢,🟢,🟢,🟢
Geschaeftspartnerrolle,🟢,🟢,🟢,🟢
Gueltigkeitstyp,🟢,🟢,🟢,🟢
Kalkulationsmethode,🟢,🟢,🟢,🟢
Kontaktart,🔴,🟢,🟢,🟢
Kostenklasse,🟢,🟢,🟢,🟢
Kundengruppe,🟢,🟢,🟢,🟢
KundengruppeKA,🟢,🟢,🟢,🟢
Kundentyp,🟢,🟢,🟢,🟢
Landescode,🟢,🟢,🟢,🟢
Leistungstyp,🟢,🟢,🟢,🟢
Lokationstyp,🟢,🟢,🟡,🟢
Marktrolle,🔴,🟢,🟢,🟢
Medium,🟢,🟢,🟢,🟢
Mengeneinheit,🟢,🟡,🟢,🟢
Mengenoperator,🟢,🟢,🟢,🟢
Messart,🟢,🟢,🟢,🟢
Messgroesse,🟢,🟢,🟢,🟢
Messpreistyp,🟢,🟢,🟢,🟢
Messwerterfassung,🟢,🟢,🟢,🟢
Messwertstatus,🟢,🟢,🟢,🟢
Messwertstatuszusatz,🟢,🟢,🟢,🟢
Netzebene,🟢,🟢,🟢,🟢
NetznutzungRechnungsart,🟢,🟢,🟢,🟢
NetznutzungRechnungstyp,🟢,🟢,🟢,🟢
Oekolabel,🟢,🟢,🟢,🟢
Oekozertifikat,🟢,🟢,🟢,🟢
Organisationstyp,➕,🟢,🟢,🟢
Preisgarantietyp,🟢,🟢,🟢,🟢
Preismodell,🟢,🟢,🟢,🟢
Preisstatus,🟢,🟢,🟢,🟢
Preistyp,🟢,🟢,🟢,🟢
Rechnungslegung,🟢,🟢,🟢,🟢
Rechnungsstatus,🟢,🟢,🟢,🟢
Rechnungstyp,🟢,🟢,🟢,🟢
Regionskriteriumtyp,🟢,🟢,🟢,🟢
Registeranzahl,🟢,🟢,🟢,🟢
Rollencodetyp,🟢,🟢,🟢,🟢
Rufnummernart,➖,\-,\-,\-
Sparte,🟢,🟢,🟢,🟢
Speicherart,\-,\-,➕,🟢
SteuerkanalLeistungsbeschreibung,\-,\-,➕,🟢
Steuerkennzeichen,🟢,🟢,🟢,🟢
Tarifkalkulationsmethode,🟢,🟢,🟢,🟢
Tarifmerkmal,🟢,🟢,🟢,🟢
Tarifregionskriterium,🟢,🟢,🟢,🟢
Tariftyp,🟢,🟢,🟢,🟢
Tarifzeit,🟢,🟢,🟢,🟢
TechnischeRessourceNutzung,\-,\-,➕,🟢
TechnischeRessourceVerbrauchsart,\-,\-,➕,🟢
Themengebiet,🟡,🟢,🟢,🟢
Titel,🟢,🟢,🟢,🟢
Typ,🔴,🟢,🟡,🟢
Verbrauchsart,🟢,🟢,🟢,🟢
Vertragsart,🟢,🟢,🟢,🟢
Vertragsform,🟢,🟢,🟢,🟢
Vertragsstatus,🟢,🟢,🟢,🟢
Verwendungszweck,🟢,🟢,🟢,🟢
Voraussetzungen,🟢,🟢,🟢,🟢
Waehrungscode,🟢,🟢,🟢,🟢
Waehrungseinheit,🟢,🟢,🟢,🟢
Waermenutzung,🟢,🟢,🟢,🟢
Wertermittlungsverfahren,🟢,🟢,🟢,🟢
Zaehlerauspraegung,🟢,🟢,🟢,🟢
Zaehlergroesse,🟢,🟢,🟢,🟢
Zaehlertyp,🟢,🟢,🟢,🟢
ZaehlertypSpezifikation,🟢,🟢,🟢,🟢
ZusatzAttribut,🟢,🟢,🟢,🟢
