,v202401.7.0 ↦ v202501.0.0,↦ v202601.0.0,↦ latest
com.RegionalerAufAbschlag,🟢,➖,∅
com.RegionaleTarifpreisposition,🟢,➖,∅
com.Regionskriterium,🟢,➖,∅
com.Regionsoperation,∅,➕,🟡
com.Regionspreis,∅,➕,🟡
com.Regionszeitscheibe,∅,➕,🟡
com.RelativePreisposition,∅,➕,🟡
com.Sigmoidparameter,🟢,🔴,🟡
com.StandorteigenschaftenGas,🟢,🔴,🟡
com.StandorteigenschaftenStrom,🟢,🔴,🟡
com.Steuerbetrag,🟢,🔴,🟡
com.Tagesparameter,🟢,🔴,🟡
com.Tarifberechnungsparameter,🟢,🔴,🟡
com.Tarifeinschraenkung,🟢,🔴,🟡
com.Tarifpreis,🟢,🔴,🟡
com.Tarifpreisposition,🟢,🔴,🟡
com.TarifpreispositionProOrt,🟢,➖,∅
com.TarifpreisstaffelProOrt,🟢,➖,∅
com.Tarifpreiszeitscheibe,∅,➕,🟡
com.Umschaltzeit,∅,➕,🟡
com.Unterschrift,🟢,🔴,🟡
com.Verbrauch,🟢,➖,∅
com.Vertragskonditionen,🟢,🔴,🟡
com.Vertragsteil,🟢,🔴,🟡
com.VerwendungszweckProMarktrolle,🟢,🔴,🟡
com.Vorauszahlung,∅,➕,🟡
com.Zaehlwerk,🟢,🔴,🟡
com.Zaehlzeitregister,🟢,🔴,🟡
com.Zaehlzeitsaison,∅,➕,🟡
com.Zaehlzeittagtyp,∅,➕,🟡
com.Zahlungsinformation,∅,➕,🟡
com.Zeitraum,🟢,🔴,🟡
com.Zeitreihenwert,🟢,🔴,🟡
com.ZeitvariablePreisposition,∅,➕,🟡
com.Zustaendigkeit,🟢,🔴,🟡
enum.AbgabeArt,🟢,🟢,🟢
enum.Abwicklungsmodell,🟢,🟢,🟢
enum.Aggregationsverantwortung,🟢,🟢,🟢
enum.Angebotsstatus,🟢,🟢,🟢
enum.Anrede,🟢,🟢,🟢
enum.ArithmetischeOperation,🟢,➖,∅
enum.ArtikelId,🟢,➖,∅
enum.AufAbschlagstyp,🟢,🟢,🟢
enum.AufAbschlagsziel,🟢,🟢,🟢
enum.Ausschreibungsportal,🟢,🟢,🟢
enum.Ausschreibungsstatus,🟢,🟢,🟢
enum.Ausschreibungstyp,🟢,🟢,🟢
enum.BDEWArtikelnummer,🟢,🟢,🟢
enum.Befestigungsart,🟢,🟢,🟢
enum.Bemessungsgroesse,🟢,🟢,🟢
enum.Bilanzierungsmethode,🟢,🟢,🟢
enum.BoTyp,🟢,🔴,🟢
enum.ComTyp,🟢,🔴,🟢
enum.Dienstleistungstyp,🟢,🟢,🟢
enum.EMobilitaetsart,🟢,🟢,🟢
enum.Energierichtung,🟢,🟢,🟢
enum.Erzeugungsart,🟢,🟢,🟢
enum.Fallgruppenzuordnung,🟢,🟢,🟢
enum.Gasqualitaet,🟢,🟢,🟢
enum.Gebiettyp,🟢,🟢,🟢
enum.Geraeteklasse,🟢,🟢,🟢
enum.Geraetetyp,🟢,🟢,🟢
enum.Geschaeftspartnerrolle,🟢,🟢,🟢
enum.Gueltigkeitstyp,🟢,➖,∅
enum.Kalkulationsmethode,🟢,🟢,🟢
enum.Kontaktart,🟢,🟢,🟢
enum.Kostenklasse,🟢,🟢,🟢
enum.Kundengruppe,🟢,🟢,🟢
enum.KundengruppeKA,🟢,🟢,🟢
enum.Kundentyp,🟢,🟢,🟢
enum.Landescode,🟢,🟢,🟢
enum.Leistungstyp,🟢,🟢,🟢
enum.Lokationstyp,🟢,🟢,🟢
enum.Marktrolle,🟢,🟢,🟢
enum.Medium,🟢,🟢,🟢
enum.Mengeneinheit,🟢,🟢,🟢
enum.Mengenoperator,🟢,🟢,🟢
enum.Messart,🟢,🟢,🟢
enum.Messgroesse,🟢,🟢,🟢
enum.Messpreistyp,🟢,🟢,🟢
enum.Messwerterfassung,🟢,➖,∅
enum.Messwertstatus,🟢,🟢,🟢
enum.Messwertstatuszusatz,🟢,🟢,🟢
enum.Netzebene,🟢,🟢,🟢
enum.NetznutzungRechnungsart,🟢,🟢,🟢
enum.NetznutzungRechnungstyp,🟢,🟢,🟢
enum.Oekolabel,🟢,🟢,🟢
enum.Oekozertifikat,🟢,🟢,🟢
enum.Operator,∅,➕,🟢
enum.Organisationstyp,🟢,🟢,🟢
enum.Preisgarantietyp,🟢,🟢,🟢
enum.Preismodell,🟢,🟢,🟢
enum.Preisreferenz,∅,➕,🟢
enum.Preisstatus,🟢,🟢,🟢
enum.Preistyp,🟢,🟢,🟢
enum.Profilart,🟢,🟢,🟢
enum.Profiltyp,🟢,🟢,🟢
enum.Profilverfahren,🟢,🟢,🟢
enum.Prognosegrundlage,🟢,🟢,🟢
enum.Rechnungslegung,🟢,🟢,🟢
enum.Rechnungsstatus,🟢,🟢,🟢
enum.Rechnungstyp,🟢,🟢,🟢
enum.Regionskriterium,∅,➕,🟢
enum.Regionskriteriumtyp,🟢,➖,∅
enum.Registeranzahl,🟢,🟢,🟢
enum.Rollencodetyp,🟢,🟢,🟢
enum.Sparte,🟢,🟢,🟢
enum.Speicherart,🟢,🟢,🟢
enum.Steuerart,∅,➕,🟢
enum.SteuerkanalLeistungsbeschreibung,🟢,🟢,🟢
enum.Steuerkennzeichen,🟢,➖,∅
enum.Tarifkalkulationsmethode,🟢,🟢,🟢
enum.Tarifmerkmal,🟢,🟢,🟢
enum.Tarifregionskriterium,🟢,➖,∅
enum.Tariftyp,🟢,🟢,🟢
enum.Tarifzeit,🟢,🟢,🟢
enum.TechnischeRessourceNutzung,🟢,🟢,🟢
enum.TechnischeRessourceVerbrauchsart,🟢,🟢,🟢
enum.Themengebiet,🟢,🟢,🟢
enum.Titel,🟢,🟢,🟢
enum.Verbrauchsart,🟢,🟢,🟢
enum.Vertragsart,🟢,🟢,🟢
enum.Vertragsform,🟢,🟢,🟢
enum.Vertragsstatus,🟢,🟢,🟢
enum.Verwendungszweck,🟢,🟢,🟢
enum.Voraussetzungen,🟢,🟢,🟢
enum.Waehrungscode,🟢,🟢,🟢
enum.Waehrungseinheit,🟢,🟢,🟢
enum.Waermenutzung,🟢,🟢,🟢
enum.WahlrechtPrognosegrundlage,🟢,🟢,🟢
enum.Wiederholungstyp,∅,➕,🟢
enum.Zaehlerauspraegung,🟢,🟢,🟢
enum.Zaehlergroesse,🟢,🟢,🟢
enum.Zaehlertyp,🟢,🟢,🟢
enum.ZaehlertypSpezifikation,🟢,🟢,🟢
enum.Zahlungsart,∅,➕,🟢
enum.Zeitreihentyp,🟢,🟢,🟢
ZusatzAttribut,🟢,🟡,🟢
